site_id,site_name,latitude,longitude,state,county,city,site_type,status,contamination_type,federal_facility,npl_status
SEMSINN000510106,Orland Indiana Truck Accident,41.755906,-85.172437,Indiana,Steuben,Orland,Superfund,Not On The Npl,,False,Non-NPL Superfund
SEMSCO0001844422,Welton Street Chemical,39.7577264,-104.9742801,Colorado,Denver,Denver,Superfund,Not On The Npl,,False,Non-NPL Superfund
SEMSUTN000820949,Maple Street Plume,40.613116,-111.8954417,Utah,Salt Lake,Midvale,Superfund,Not On The Npl,,False,Non-NPL Superfund
SEMSIND984900258,Westville Oil Spill,41.5477858,-86.9005615,Indiana,La Porte,Westville,Superfund,Site Is Part Of Npl Site,,False,Non-NPL Superfund
SEMSHI0000989707,Waimanalo Groundwater Investigation,21.3366704,-157.7227924,Hawaii,Honolulu,Waimanalo,Superfund,Not On The Npl,,False,Non-NPL Superfund
SEMSNCN000410523,Winston Container Company,35.2179569,-80.9245533,North Carolina,Mecklenburg,Charlotte,Superfund,Not On The Npl,,False,Non-NPL Superfund
SEMSMAD043415991,U S M Machinery Div,42.5562787,-70.8870105,Massachusetts,Essex,Beverly,Superfund,Not On The Npl,,False,Non-NPL Superfund
SEMSCAD009138488,"Spectra-Physics, Inc.",37.4080549,-122.0786131,California,Santa Clara,Mountain View,Superfund,Currently On The Final Npl,,False,Current NPL
SEMSCTD051486686,Matheis Court Property,41.1383414,-73.4100013,Connecticut,Fairfield,Norwalk,Superfund,Site Is Part Of Npl Site,,False,Non-NPL Superfund
SEMSNCN000407334,Steele Property Drum,35.8925971,-80.0992731,North Carolina,Davidson,Thomasville,Superfund,Not On The Npl,,False,Non-NPL Superfund
SEMSFLD039049101,Kerr-Mcgee Chemical Corp - Jacksonville,30.3442058,-81.6265032,Florida,Duval,Jacksonville,Superfund,Currently On The Final Npl,,False,Current NPL
SEMSSCD003358744,U.S. Finishing,34.8832987,-82.4263067,South Carolina,Greenville,Greenville,Superfund,Currently On The Final Npl,,False,Current NPL
SEMSCAD980737076,Dico Oil Co,33.8054428,-118.1702092,California,Los Angeles,Signal Hill,Superfund,Not On The Npl,,False,Non-NPL Superfund
SEMSNYD980780928,Van Der Horst Corp Of America,42.0901583,-78.436583,New York,Cattaraugus,Olean,Superfund,Not On The Npl,,False,Non-NPL Superfund
SEMSAKN001020813,Red Dog Mine,68.0713879,-162.8680785,Alaska,Northwest Arctic,Kotzebue,Superfund,Not On The Npl,,False,Non-NPL Superfund
SEMSFLN000410732,Gulf Coast Medical Hg Spill,26.9455649,-82.3372933,Florida,Sarasota,Englewood,Superfund,Not On The Npl,,False,Non-NPL Superfund
SEMSNJD070565403,Scientific Chemical Processing,40.8245483,-74.0743305,New Jersey,Bergen,Carlstadt,Superfund,Currently On The Final Npl,,False,Current NPL
SEMSWIN000520213,Martinizing Dry Cleaners,44.5164583,-88.0690862,Wisconsin,Brown,Green Bay,Superfund,Not On The Npl,,False,Non-NPL Superfund
SEMSMAN000106144,Bjat Llc,42.0744256,-71.4108067,Massachusetts,Norfolk,Franklin,Superfund,Currently On The Final Npl,,False,Current NPL
SEMSNJD048401483,Aaa Organic Cleaners,40.8874983,-74.0432715,New Jersey,Bergen,Hackensack,Superfund,Not On The Npl,,False,Non-NPL Superfund
SEMSNJD002387108,Torwico Electronics Incorporated,40.0521201,-74.1955895,New Jersey,-- Not Defined --,Lakewood Township,Superfund,Not On The Npl,,False,Non-NPL Superfund
SEMSWI0000272807,B&B Auto Yard,43.8433411,-88.8383393,Wisconsin,Fond Du Lac,Ripon,Superfund,Not On The Npl,,False,Non-NPL Superfund
SEMSMIN000508761,Taylor 6850 Monroe Road,42.2584582,-83.2501845,Michigan,Wayne,Taylor,Superfund,Not On The Npl,,False,Non-NPL Superfund
SEMSMS0001806710,Circle S Inc.,31.7055037,-89.971492,Mississippi,Lawrence,Newhebron,Superfund,Not On The Npl,,False,Non-NPL Superfund
SEMSUTN000802024,Dutchess Mine,37.7459057,-110.9864112,Utah,Garfield,Bullfrog,Superfund,Not On The Npl,,False,Non-NPL Superfund
SEMSUT0001307768,Freeport Center/Naval Supply Depot,41.0988411,-112.0331528,Utah,Davis,Clearfield,Superfund,Not On The Npl,,False,Non-NPL Superfund
SEMSOHN000505586,Jacamar Emergency Response,39.5640676,-84.2439045,Ohio,Warren,Springboro,Superfund,Not On The Npl,,False,Non-NPL Superfund
SEMSMAD079510780,Cannon Engineering Corp. (Cec),41.9727086,-71.0256006,Massachusetts,Plymouth,Bridgewater,Superfund,Deleted From The Final Npl,,False,Deleted from NPL
SEMSNCN000410315,Water Guard,35.7360334,-77.8833531,North Carolina,-- Not Defined --,Wilson,Superfund,Not On The Npl,,False,Non-NPL Superfund
SEMSMAD001405349,Nubrite Chemical Co R-3,41.8875586,-71.0902506,Massachusetts,Bristol,Taunton,Superfund,Not On The Npl,,False,Non-NPL Superfund
SEMSGASFN0406870,Cargill Grain Elevator Storage,31.3002839,-84.7161152,Georgia,Early,Damascus,Superfund,Not On The Npl,,False,Non-NPL Superfund
SEMSKYD050398650,Campari America Llc,38.0392373,-84.8522646,Kentucky,Anderson,Lawrenceburg,Superfund,Not On The Npl,,False,Non-NPL Superfund
SEMSWI9210020054,Badger Army Ammunition Plant,43.3702852,-89.7684811,Wisconsin,Sauk,North Freedom,Superfund,Not On The Npl,,False,Non-NPL Superfund
SEMSNEN000703252,Omaha (Ex) Af Sta Z-71,41.3602293,-96.0251471,Nebraska,Douglas,Omaha,Superfund,Not On The Npl,,False,Non-NPL Superfund
SEMSPAD054142781,Keystone Sanitation Landfill,39.724458,-77.0361133,Pennsylvania,Adams,Union Township,Superfund,Currently On The Final Npl,,False,Current NPL
SEMSCA2122307646,Tahoe Nat Forest,39.2600052,-121.0133462,California,Nevada,Nevada City,Superfund,Not On The Npl,,False,Non-NPL Superfund
SEMSFLD000824896,Reeves Southeastern Galvanizing Corp.,27.9725052,-82.3419424,Florida,Hillsborough,Tampa,Superfund,Currently On The Final Npl,,False,Current NPL
SEMSMIN000510443,Icg Dowagiac,41.987968,-86.1192853,Michigan,Cass,Dowagiac,Superfund,Not On The Npl,,False,Non-NPL Superfund
SEMSMIN000510600,Calumet And Hecla Power Plant Site,47.1850086,-88.4133066,Michigan,Houghton,Torch Lake Township,Superfund,Not On The Npl,,False,Non-NPL Superfund
SEMSUTN000821006,600 West 200 South Plume,40.372736,-111.8134917,Utah,Utah,American Fork,Superfund,Not On The Npl,,False,Non-NPL Superfund
SEMSIND980615421,Midco I,41.5895078,-87.4284057,Indiana,Lake,Gary,Superfund,Currently On The Final Npl,,False,Current NPL
SEMSMON000720058,Hall Street Abandoned Container,38.7028062,-90.2199622,Missouri,St. Louis,St Louis,Superfund,Not On The Npl,,False,Non-NPL Superfund
SEMSMAD980915805,Reclamation Systems Inc. Landfill,42.5850087,-71.2588897,Massachusetts,Middlesex,Billerica,Superfund,Site Is Part Of Npl Site,,False,Non-NPL Superfund
SEMSCON000802652,Pennsylvania Mine,39.5999913,-105.8122813,Colorado,Summit,Keystone,Superfund,Not On The Npl,,False,Non-NPL Superfund
SEMSRID982542300,Exeter Sanitary Landfill #2,41.5700085,-71.6000007,Rhode Island,Washington,Exeter,Superfund,Not On The Npl,,False,Non-NPL Superfund
SEMSNJ4690308024,Us Coast Guard Station Sandy Hook,40.4681952,-74.0059834,New Jersey,Monmouth,Highlands,Superfund,Not On The Npl,,False,Non-NPL Superfund
SEMSNCN000410364,Greenville Red Mystery Powder Incident,35.5781349,-77.380647,North Carolina,Pitt,Greenville,Superfund,Not On The Npl,,False,Non-NPL Superfund
SEMSGAD042977835,Martin Fire Proofing Ga Inc,34.0836176,-82.8416708,Georgia,Elbert,Elberton,Superfund,Not On The Npl,,False,Non-NPL Superfund
SEMSWIN000505535,(Former) Donaldsons One Hour Cleaners,44.1710252,-88.4656172,Wisconsin,Winnebago,Neenah,Superfund,Not On The Npl,,False,Non-NPL Superfund
SEMSVAN000303921,Darfler Property Chemical Van,38.6628887,-78.5474487,Virginia,Page,Luray,Superfund,Not On The Npl,,False,Non-NPL Superfund
SEMSNEN000741162,George Risk Industries Inc,41.2292967,-103.65893,Nebraska,Kimball,Kimball,Superfund,Not On The Npl,,False,Non-NPL Superfund
SEMSKSN000741005,Radiation-Metro Three,39.016287,-94.6942845,Kansas,-- Not Defined --,Merriam,Superfund,Not On The Npl,,False,Non-NPL Superfund
SEMSMIN000521995,Mound Road Plating Shop,42.4746282,-83.0456844,Michigan,-- Not Defined --,Warren,Superfund,Not On The Npl,,False,Non-NPL Superfund
SEMSGAD980841852,Roy Davis Property / Gordon County,34.7666736,-84.7716714,Georgia,Murray,Chatsworth,Superfund,Not On The Npl,,False,Non-NPL Superfund
SEMSNYD000694257,Morgan Chemicals Inc.,42.9454692,-78.8935939,New York,Erie,Buffalo,Superfund,Not On The Npl,,False,Non-NPL Superfund
SEMSKSN000741208,Vocs Metals Tph South 26Th Street,39.080997,-94.6590775,Kansas,-- Not Defined --,Kansas City,Superfund,Unknown,,False,Non-NPL Superfund
SEMSCAD981172422,Frenso Shields Armory,36.779495,-119.7016427,California,Fresno,Fresno,Superfund,Not On The Npl,,False,Non-NPL Superfund
SEMSMIN000522016,Richfield Landfill Inc,43.1292083,-83.4944046,Michigan,Genesee,Davison,Superfund,Not On The Npl,,False,Non-NPL Superfund
SEMSMNN000510595,Southview Boulevard,44.888858,-93.0462257,Minnesota,Dakota,St. Paul,Superfund,Not On The Npl,,False,Non-NPL Superfund
SEMSNJD980505416,Lipari Landfill,39.720289,-75.1419408,New Jersey,Gloucester,Pitman,Superfund,Deleted From The Final Npl,,False,Deleted from NPL
SEMSCAN000908582,Hammond Uprr Derailment,33.5547049,-116.0597118,California,Riverside,Mecca,Superfund,Not On The Npl,,False,Non-NPL Superfund
SEMSMIN000508193,Taminco Higher Amines Inc,42.1838971,-83.1630604,Michigan,Wayne,Riverview,Superfund,Not On The Npl,,False,Non-NPL Superfund
SEMSNCN000406327,Robersonville Fuel Spill,35.8263151,-77.2653802,North Carolina,Martin,Robersonville,Superfund,Not On The Npl,,False,Non-NPL Superfund
