api_number,well_name,latitude,longitude,state,county,operator_name,well_type,well_status,spud_date,months_inactive,liability_est,field_name,lease_name,district
4700100012,"CALLIHAN, JAMES E. #8896",39.170749,-80.182141,West Virginia,Barbour,WV MINERAL GROUP LLC,Vertical,Abandoned,1944-12-06,,,NA,"CALLIHAN, JAMES E.",
4700100171,"NUTTER, HAZEL #10642",39.165468,-80.125658,West Virginia,Barbour,WV MINERAL GROUP LLC,Vertical,Abandoned,1964-07-03,,,NA,"NUTTER, HAZEL",
4700100310,"REEDER, BERNICE #10841",39.188436,-80.168592,West Virginia,Barbour,WV MINERAL GROUP LLC,Vertical,Abandoned,1967-10-16,,,NA,"REEDER, BERNICE",
4700100494,"POLING, HERMAN, JR., ETAL #1",39.176201,-80.068941,West Virginia,Barbour,WV MINERAL GROUP LLC,Vertical,Abandoned,1969-10-05,,,NA,"POLING, HERMAN, JR., ETAL",
4700100687,PHILIPPI DEVELOPMENT #11865,39.195519,-80.044827,West Virginia,Barbour,WV MINERAL GROUP LLC,Vertical,Abandoned,1974-12-01,,,NA,PHILIPPI DEVELOPMENT,
4700100478,FRAZEE LUMBER #11123,39.076838,-80.047163,West Virginia,Barbour,WV MINERAL GROUP LLC,Vertical,Abandoned,1969-09-18,,,NA,FRAZEE LUMBER,
4700100546,"PHILLIPS, J. E. #1",39.008847,-80.042279,West Virginia,Barbour,BRAXTON OIL AND GAS CORP.,Vertical,Abandoned,1970-12-08,,,NA,"PHILLIPS, J. E.",
4700100364,"McDONALD, VIRGINIA C. #1-S-155-CH",39.231654,-80.152707,West Virginia,Barbour,WV MINERAL GROUP LLC,Vertical,Abandoned,1967-11-26,,,NA,"McDONALD, VIRGINIA C.",
4700100080,"CROWLEY, MARGARET A. #1-524",38.976244,-80.049355,West Virginia,Barbour,"MINERAL RESOURCE MANAGEMENT, L.L.C.",Vertical,Abandoned,1955-04-26,,,NA,"CROWLEY, MARGARET A.",
4700100383,"BUEHL, JANET & GUY GOLDEN #1-168-CH",39.1801,-80.098235,West Virginia,Barbour,WV MINERAL GROUP LLC,Vertical,Abandoned,1968-03-23,,,NA,"BUEHL, JANET & GUY GOLDEN",
4700100581,"KERR, JOHN W. #1",39.066893,-80.0902,West Virginia,Barbour,BRAXTON OIL AND GAS CORP.,Vertical,Abandoned,1972-06-14,,,NA,"KERR, JOHN W.",
4700100363,NUTTER-POLING #10930,39.137952,-80.115164,West Virginia,Barbour,WV MINERAL GROUP LLC,Vertical,Abandoned,1967-08-21,,,NA,NUTTER-POLING,
4700100453,"WINSLOW, JOHN S. & CHARLES D. #SANDUSKY, CLEMENCE 186",39.108263,-80.103951,West Virginia,Barbour,"ROSS AND WHARTON GAS COMPANY, INC.",Vertical,Abandoned,2012-11-13,,,NA,"WINSLOW, JOHN S. & CHARLES D.",
4700101009,"TRIMBLE, HOFFMAN #7184",39.141515,-80.167221,West Virginia,Barbour,ALLEGHENY METALLURGICAL LLC,Vertical,Abandoned,1928-06-20,,,NA,"TRIMBLE, HOFFMAN",
4700100141,"McBEE, IRA #10494",39.204666,-80.024255,West Virginia,Barbour,WV MINERAL GROUP LLC,Vertical,Abandoned,1963-08-21,,,NA,"McBEE, IRA",
4700100291,"BOEHM, DORA M. #10790",39.075243,-80.122695,West Virginia,Barbour,WV MINERAL GROUP LLC,Vertical,Abandoned,1966-05-20,,,NA,"BOEHM, DORA M.",
4700100406,STEMPLE-GREGORY-POST #11001,39.130059,-80.123028,West Virginia,Barbour,WV MINERAL GROUP LLC,Vertical,Abandoned,1968-09-11,,,NA,STEMPLE-GREGORY-POST,
4700100280,"RITTER, C. G. #1",39.075022,-80.124435,West Virginia,Barbour,BRAXTON OIL AND GAS CORP.,Vertical,Abandoned,1966-01-01,,,NA,"RITTER, C. G.",
4700100516,"LAKE, SADIE C. #1",39.224075,-80.112568,West Virginia,Barbour,WV MINERAL GROUP LLC,Vertical,Abandoned,1969-12-01,,,NA,"LAKE, SADIE C.",
4700100060,"HUDKINS, D. C. #9171",39.163832,-80.158119,West Virginia,Barbour,WV MINERAL GROUP LLC,Vertical,Abandoned,1948-02-29,,,NA,"HUDKINS, D. C.",
4700100132,"PECK, CORA M. #10445",39.149036,-80.127104,West Virginia,Barbour,WV MINERAL GROUP LLC,Vertical,Abandoned,1963-05-15,,,NA,"PECK, CORA M.",
4700100685,"STALNAKER, W. C. #11848",39.180639,-80.03891,West Virginia,Barbour,WV MINERAL GROUP LLC,Vertical,Abandoned,1974-11-01,,,NA,"STALNAKER, W. C.",
4700100492,"PAUGH, EDWARD D., ETUX #(1) BAR-238",39.116032,-80.104306,West Virginia,Barbour,"ROSS AND WHARTON GAS COMPANY, INC.",Vertical,Abandoned,1969-09-09,,,NA,"PAUGH, EDWARD D., ETUX",
4710100087,"HAYES, JAMES #623873",38.641815,-80.409411,West Virginia,Webster,DIVERSIFIED PRODUCTION LLC,Vertical,Abandoned,2000-01-19,314,,NA,"HAYES, JAMES",
4710300303,COASTAL LUMBER COMPANY #WV 656276  FISHER 1596,39.536548,-80.534127,West Virginia,Wetzel,DIVERSIFIED PRODUCTION LLC,Vertical,Abandoned,2011-09-26,,,NA,COASTAL LUMBER COMPANY,
4710300666,"POSTLEWAITE, HOGE #H. POSTLEWAITE 483",39.613332,-80.656292,West Virginia,Wetzel,DIVERSIFIED PRODUCTION LLC,Vertical,Abandoned,,,,NA,"POSTLEWAITE, HOGE",
4710300799,"D'LUSKY, DR. DONALD #WV 650531  (MERRIFIELD 216)",39.569726,-80.506868,West Virginia,Wetzel,DIVERSIFIED PRODUCTION LLC,Vertical,Abandoned,1950-07-29,,,NA,"D'LUSKY, DR. DONALD",
4700102806,ADRIAN PROPERTIES #NCRHC-5,39.148918,-80.190514,West Virginia,Barbour,ALLEGHENY METALLURGICAL LLC,Coal Bed Methane Well,Abandoned,2006-02-10,241,,Lower Kittanning Coal,ADRIAN PROPERTIES,
4710300190,"CHANCE, R.B. #1",39.720041,-80.823954,West Virginia,Wetzel,OPERATOR UNKNOWN,Vertical,Abandoned,1938-09-09,,,NA,"CHANCE, R.B.",
4710100040,"BERTHY, J. N. JR. #1",38.413876,-80.558081,West Virginia,Webster,OPERATOR UNKNOWN,Vertical,Abandoned,1955-04-20,,,NA,"BERTHY, J. N. JR.",
4700100055,"POLING, ALMAN #9128",39.12467,-80.038866,West Virginia,Barbour,WV MINERAL GROUP LLC,Vertical,Abandoned,1947-08-13,,,NA,"POLING, ALMAN",
4700100273,"HENDERSON, J. M. #1",39.079009,-80.122724,West Virginia,Barbour,BRAXTON OIL AND GAS CORP.,Vertical,Abandoned,1965-11-05,,,NA,"HENDERSON, J. M.",
4700100541,"CLEAVENGER, MABEL #1",39.212962,-80.146892,West Virginia,Barbour,WV MINERAL GROUP LLC,Vertical,Abandoned,1970-10-01,,,NA,"CLEAVENGER, MABEL",
4700100542,"O'BRIEN, ESTHER E. #11289",39.070858,-80.049837,West Virginia,Barbour,WV MINERAL GROUP LLC,Vertical,Abandoned,1971-01-01,,,NA,"O'BRIEN, ESTHER E.",
4700100399,"WOLFE, BERNARD #1-177-CH",39.198131,-80.110905,West Virginia,Barbour,WV MINERAL GROUP LLC,Vertical,Abandoned,1968-07-31,,,NA,"WOLFE, BERNARD",
4700100533,"NUZUM, ZONA V. #11279",39.115726,-80.119919,West Virginia,Barbour,WV MINERAL GROUP LLC,Vertical,Abandoned,1970-06-01,,,NA,"NUZUM, ZONA V.",
4700100567,"GREEN, GALL CHAPMAN #1-S-2",39.147637,-80.095833,West Virginia,Barbour,MULE HEAD LLC,Vertical,Abandoned,1971-12-01,,,NA,"GREEN, GALL CHAPMAN",
4700100094,INDIAN CREEK COAL & COKE #9868,39.095061,-80.15643,West Virginia,Barbour,WV MINERAL GROUP LLC,Vertical,Abandoned,1958-03-06,,,NA,INDIAN CREEK COAL & COKE,
4700100176,"DICKENSON, D. #10650",39.159711,-80.129538,West Virginia,Barbour,WV MINERAL GROUP LLC,Vertical,Abandoned,1964-12-17,,,NA,"DICKENSON, D.",
4700100246,"DICKENSON, DEMETRIUS #10752",39.160835,-80.137685,West Virginia,Barbour,WV MINERAL GROUP LLC,Vertical,Abandoned,1965-12-13,,,NA,"DICKENSON, DEMETRIUS",
4700100300,"SMITH, WILLIAM B. #2-130-CH",39.204193,-80.145745,West Virginia,Barbour,WV MINERAL GROUP LLC,Vertical,Abandoned,1966-07-08,,,NA,"SMITH, WILLIAM B.",
4700102672,"COMPTON, WILLIAM M. #ZINN 1",39.173603,-80.153877,West Virginia,Barbour,"PEPPER DEVELOPMENT, LLC",Vertical,Abandoned,2007-10-26,221,,NA,"COMPTON, WILLIAM M.",
4700100432,"CASTO, ORMA #11034",39.132952,-80.172398,West Virginia,Barbour,WV MINERAL GROUP LLC,Vertical,Abandoned,1969-06-26,,,NA,"CASTO, ORMA",
4700100515,"CHAPMAN, DALE #2",39.145723,-80.107204,West Virginia,Barbour,MULE HEAD LLC,Vertical,Abandoned,1969-12-01,,,NA,"CHAPMAN, DALE",
4710100036,"THOMAS, AGATHA #1",38.413866,-80.556907,West Virginia,Webster,OPERATOR UNKNOWN,Vertical,Abandoned,1955-02-11,,,NA,"THOMAS, AGATHA",
4710100116,SUN LUMBER CO. #SUN A4,38.599112,-80.349656,West Virginia,Webster,BUCHER EXPLORATION L.L.C.,Vertical,Abandoned,2007-10-19,221,,NA,SUN LUMBER CO.,
4700101010,"TRIMBLE, WILLIE B. #7185",39.146753,-80.167764,West Virginia,Barbour,ALLEGHENY METALLURGICAL LLC,Vertical,Abandoned,1928-02-26,,,NA,"TRIMBLE, WILLIE B.",
4710300933,BLACKSHERE WELLS #19,37.04623,-81.000003,West Virginia,Wetzel,DIVERSIFIED PRODUCTION LLC,Vertical,Abandoned,,,,NA,BLACKSHERE WELLS,
4700100561,U. S. STEEL #11385,39.187598,-80.02533,West Virginia,Barbour,DIVERSIFIED PRODUCTION LLC,Vertical,Abandoned,2011-09-30,,,Benson,U. S. STEEL,
4710300352,"SMITH, TRUMAN #1",39.672761,-80.449333,West Virginia,Wetzel,OPERATOR UNKNOWN,Vertical,Abandoned,1949-07-08,,,NA,"SMITH, TRUMAN",
4710300122,"LEEZER, JANE - HEIRS #1",39.659499,-80.417599,West Virginia,Wetzel,DIVERSIFIED PRODUCTION LLC,Vertical,Abandoned,1937-07-15,,,NA,"LEEZER, JANE - HEIRS",
4710300619,"MILLS WETZEL LANDS, INC. #A-663",39.536387,-80.577754,West Virginia,Wetzel,DIVERSIFIED PRODUCTION LLC,Vertical,Abandoned,1977-10-21,,,NA,"MILLS WETZEL LANDS, INC.",
4710300815,"FURBEE, S. J. #847",39.564703,-80.50862,West Virginia,Wetzel,DIVERSIFIED PRODUCTION LLC,Vertical,Abandoned,,,,NA,"FURBEE, S. J.",
4710301114,"SMITH, H. L. #50",39.486884,-80.555324,West Virginia,Wetzel,DIVERSIFIED PRODUCTION LLC,Vertical,Abandoned,1930-02-26,,,NA,"SMITH, H. L.",
4710301165,"BARR, MIKE #215",39.562089,-80.563215,West Virginia,Wetzel,DIVERSIFIED PRODUCTION LLC,Vertical,Abandoned,1971-05-12,,,NA,"BARR, MIKE",
4700100186,"WENTZ, CHARLES S. #1",39.068411,-80.09577,West Virginia,Barbour,"ROSS AND WHARTON GAS COMPANY, INC.",Vertical,Abandoned,1964-09-18,,,NA,"WENTZ, CHARLES S.",
4700100812,"CAIN, M. #1-B-20",39.049923,-80.089058,West Virginia,Barbour,"ROSS AND WHARTON GAS COMPANY, INC.",Vertical,Abandoned,1977-02-01,,,NA,"CAIN, M.",
4700100879,"STRADER, BRILL #2-S-B-122",37.04623,-81.000003,West Virginia,Barbour,OPERATOR UNKNOWN,Vertical,Abandoned,,,,NA,"STRADER, BRILL",
4710300436,"BUTLER, CARL & HILDRETH #BUTLER 1",39.576624,-80.648263,West Virginia,Wetzel,OPERATOR UNKNOWN,Vertical,Abandoned,1956-08-25,,,NA,"BUTLER, CARL & HILDRETH",
