api_number,well_name,latitude,longitude,state,county,operator_name,well_type,well_status,spud_date,months_inactive,liability_est,field_name,lease_name,district
49-033-22728,GIBBS #7-24X CO,44.81622,-106.06799,Wyoming,Sheridan,HIGH PLAINS GAS LLC,Gas,Permanently Abandoned,2001-12-01,79,,PRB COAL BED,GIBBS,
49-033-22735,PETERSON #1-28-57-83 MZ/CR,44.89263,-106.86703,Wyoming,Sheridan,PENNACO ENERGY INCORPORATED,LW,Permanently Abandoned,2004-08-01,137,,PRB COAL BED,PETERSON,
49-033-22744,SORENSON #15-12-53-77A,44.57875,-106.06777,Wyoming,Sheridan,HIGH PLAINS GAS LLC,Gas,Permanently Abandoned,2001-10-01,104,,PRB COAL BED,SORENSON,
49-033-22745,KUHN RANCH #9-35-54-77A,44.61108,-106.08382,Wyoming,Sheridan,HIGH PLAINS GAS LLC,Gas,Permanently Abandoned,2001-11-01,104,,PRB COAL BED,KUHN RANCH,
49-033-22746,ELLIOTT #3-27-54-77A,44.6331,-106.11412,Wyoming,Sheridan,HIGH PLAINS GAS LLC,LW,Permanently Abandoned,2001-12-01,101,,PRB COAL BED,ELLIOTT,
49-033-22747,MALLI #14-19-54-76A,44.63673,-106.05335,Wyoming,Sheridan,HIGH PLAINS GAS LLC,Gas,Permanently Abandoned,2001-09-01,106,,PRB COAL BED,MALLI,
49-033-22754,SMITH #1MK-29 57-83,44.89257,-106.88759,Wyoming,Sheridan,STORM CAT ENERGY USA OPERATING CORP,Gas,Permanently Abandoned,2005-05-01,57,,PRB COAL BED,SMITH,
49-033-22755,SMITH #7MK-29 57-83,44.88826,-106.89256,Wyoming,Sheridan,STORM CAT ENERGY USA OPERATING CORP,Gas,Permanently Abandoned,2005-05-01,57,,PRB COAL BED,SMITH,
49-033-22756,SMITH #9MK-29 57-83,44.88509,-106.88745,Wyoming,Sheridan,STORM CAT ENERGY USA OPERATING CORP,Gas,Permanently Abandoned,2005-06-01,57,,PRB COAL BED,SMITH,
49-033-22804,DEWEY C #11K-27 58-83,44.97253,-106.85625,Wyoming,Sheridan,STORM CAT ENERGY USA OPERATING CORP,Gas,Permanently Abandoned,2002-01-01,59,,PRB COAL BED,DEWEY C,
49-033-22811,DEWEY C #9-27 58-83,44.97286,-106.84609,Wyoming,Sheridan,STORM CAT ENERGY USA OPERATING CORP,Gas,Permanently Abandoned,2002-05-01,59,,PRB COAL BED,DEWEY C,
49-033-22814,DEWEY C #13-27 58-83,44.96879,-106.86126,Wyoming,Sheridan,STORM CAT ENERGY USA OPERATING CORP,LW,Permanently Abandoned,2002-05-01,65,,PRB COAL BED,DEWEY C,
49-033-22817,DEWEY C #15M-27 58-83,44.96878,-106.85084,Wyoming,Sheridan,STORM CAT ENERGY USA OPERATING CORP,Gas,Permanently Abandoned,2002-01-01,59,,PRB COAL BED,DEWEY C,
49-033-22822,MALLI #13-28 A,44.70865,-106.02202,Wyoming,Sheridan,HIGH PLAINS GAS LLC,Gas,Permanently Abandoned,2001-10-01,105,,PRB COAL BED,MALLI,
49-033-22849,GIBBS STATE #8-36CO,44.78728,-106.06727,Wyoming,Sheridan,HIGH PLAINS GAS LLC,Gas,Permanently Abandoned,2001-11-01,104,,PRB COAL BED,GIBBS STATE,
49-033-22852,WALSH STATE #1-36-54-77 A,44.61882,-106.06313,Wyoming,Sheridan,HIGH PLAINS GAS LLC,Gas,Permanently Abandoned,2001-12-01,104,,PRB COAL BED,WALSH STATE,
49-033-22854,WALSH STATE #7-36-54-77 A,44.61503,-106.06912,Wyoming,Sheridan,HIGH PLAINS GAS LLC,Gas,Permanently Abandoned,2001-11-01,104,,PRB COAL BED,WALSH STATE,
49-033-22855,WALSH STATE #9-36-54-77 A,44.61074,-106.06371,Wyoming,Sheridan,HIGH PLAINS GAS LLC,Gas,Permanently Abandoned,2001-11-01,104,,PRB COAL BED,WALSH STATE,
49-033-22856,WALSH STATE #13-36-54-77 A,44.60748,-106.07826,Wyoming,Sheridan,HIGH PLAINS GAS LLC,Gas,Permanently Abandoned,2001-11-01,104,,PRB COAL BED,WALSH STATE,
49-033-22857,WALSH STATE #15-36-54-77 A,44.60769,-106.06802,Wyoming,Sheridan,HIGH PLAINS GAS LLC,Gas,Permanently Abandoned,2001-11-01,104,,PRB COAL BED,WALSH STATE,
49-033-22941,ST. ROMAIN #3D2D3-30 57-83,44.89187,-106.91817,Wyoming,Sheridan,STORM CAT ENERGY USA OPERATING CORP,Gas,Permanently Abandoned,2004-07-01,57,,PRB COAL BED,ST. ROMAIN,
49-033-22943,ST. ROMAIN #3SA-30 57-83,44.89195,-106.91831,Wyoming,Sheridan,STORM CAT ENERGY USA OPERATING CORP,Gas,Permanently Abandoned,2004-07-01,57,,PRB COAL BED,ST. ROMAIN,
49-033-22944,ST. ROMAIN #3MK-30 57-83,44.89179,-106.91803,Wyoming,Sheridan,STORM CAT ENERGY USA OPERATING CORP,Gas,Permanently Abandoned,2004-07-01,57,,PRB COAL BED,ST. ROMAIN,
49-033-22962,CHERNI #3D2D3-19 57-83,44.90619,-106.91717,Wyoming,Sheridan,STORM CAT ENERGY USA OPERATING CORP,Gas,Permanently Abandoned,2003-11-01,54,,PRB COAL BED,CHERNI,
49-033-22965,CHERNI #3MK-19 57-83,44.90642,-106.91697,Wyoming,Sheridan,STORM CAT ENERGY USA OPERATING CORP,Gas,Permanently Abandoned,2003-10-01,54,,PRB COAL BED,CHERNI,
49-033-22972,AC RANCH #15MK-33 57-83,44.86633,-106.8708,Wyoming,Sheridan,STORM CAT ENERGY USA OPERATING CORP,Gas,Permanently Abandoned,2006-02-01,54,,PRB COAL BED,AC RANCH,
49-033-22980,AC RANCH #13MK-33 57-83,44.86619,-106.88193,Wyoming,Sheridan,STORM CAT ENERGY USA OPERATING CORP,Gas,Permanently Abandoned,2006-02-01,54,,PRB COAL BED,AC RANCH,
49-033-22985,AC RANCH #11MK-33 57-83,44.87009,-106.87725,Wyoming,Sheridan,STORM CAT ENERGY USA OPERATING CORP,Gas,Permanently Abandoned,2006-02-01,54,,PRB COAL BED,AC RANCH,
49-033-22990,AC RANCH #9MK-33 57-83,44.87024,-106.86612,Wyoming,Sheridan,STORM CAT ENERGY USA OPERATING CORP,Gas,Permanently Abandoned,2006-02-01,54,,PRB COAL BED,AC RANCH,
49-033-22996,MALLI #15-31A,44.69379,-106.05041,Wyoming,Sheridan,HIGH PLAINS GAS LLC,Gas,Permanently Abandoned,2001-10-01,105,,PRB COAL BED,MALLI,
49-033-23000,WILLEY #3-24,44.73226,-106.80234,Wyoming,Sheridan,CONTINENTAL PRODUCTION CO LLC,Gas,Permanently Abandoned,2002-01-01,138,,PRB COAL BED,WILLEY,
49-033-23001,LIGOCKI #15-13,44.73547,-106.79766,Wyoming,Sheridan,CONTINENTAL PRODUCTION CO LLC,Gas,Permanently Abandoned,2002-06-01,138,,PRB COAL BED,LIGOCKI,
49-033-23004,RICE & SONS #23M-3474,44.86974,-106.98066,Wyoming,Sheridan,FIDELITY EXPLORATION & PRODUCTION CO,LW,Permanently Abandoned,2001-11-01,161,,PRB COAL BED,RICE & SONS,
49-033-23006,RICE & SONS #12M-1064,44.84472,-106.97092,Wyoming,Sheridan,FIDELITY EXPLORATION & PRODUCTION CO,LW,Permanently Abandoned,2001-11-01,161,,PRB COAL BED,RICE & SONS,
49-033-23045,AC RANCH #7D2D3-8 56-83,44.84428,-106.87797,Wyoming,Sheridan,STORM CAT ENERGY USA OPERATING CORP,Gas,Permanently Abandoned,2004-07-01,54,,PRB COAL BED,AC RANCH,
49-033-23047,AC RANCH #7SA-8 56-83,44.84423,-106.8783,Wyoming,Sheridan,STORM CAT ENERGY USA OPERATING CORP,Gas,Permanently Abandoned,2004-07-01,54,,PRB COAL BED,AC RANCH,
49-033-23048,AC RANCH #7MK-8 56-83,44.84432,-106.87816,Wyoming,Sheridan,STORM CAT ENERGY USA OPERATING CORP,Gas,Permanently Abandoned,2004-07-01,54,,PRB COAL BED,AC RANCH,
49-033-23056,AC RANCH #3MK-5 56-83,44.86279,-106.88388,Wyoming,Sheridan,STORM CAT ENERGY USA OPERATING CORP,Gas,Permanently Abandoned,2004-05-01,54,,PRB COAL BED,AC RANCH,
49-033-23057,AC RANCH #5MK-5 56-83,44.85855,-106.88973,Wyoming,Sheridan,STORM CAT ENERGY USA OPERATING CORP,Gas,Permanently Abandoned,2006-03-01,54,,PRB COAL BED,AC RANCH,
49-033-23058,AC RANCH #9MK-5 56-83,44.85491,-106.87354,Wyoming,Sheridan,STORM CAT ENERGY USA OPERATING CORP,Gas,Permanently Abandoned,2006-03-01,54,,PRB COAL BED,AC RANCH,
49-033-23059,AC RANCH #15MK-5 56-83,44.85174,-106.87863,Wyoming,Sheridan,STORM CAT ENERGY USA OPERATING CORP,Gas,Permanently Abandoned,2006-03-01,54,,PRB COAL BED,AC RANCH,
49-033-23060,AC RANCH #7MK-5 56-83,44.85916,-106.8792,Wyoming,Sheridan,STORM CAT ENERGY USA OPERATING CORP,Gas,Permanently Abandoned,2006-03-01,54,,PRB COAL BED,AC RANCH,
49-033-23073,AC RANCH #3D2D3-5 56-83,44.86268,-106.88338,Wyoming,Sheridan,STORM CAT ENERGY USA OPERATING CORP,Gas,Permanently Abandoned,2004-06-01,54,,PRB COAL BED,AC RANCH,
49-033-23081,AC RANCH #1D2D3-8 56-83,44.84798,-106.87293,Wyoming,Sheridan,STORM CAT ENERGY USA OPERATING CORP,Gas,Permanently Abandoned,2004-08-01,54,,PRB COAL BED,AC RANCH,
49-033-23082,SEVEN BROTHERS #7D2D3-6 56-83,44.85867,-106.89981,Wyoming,Sheridan,STORM CAT ENERGY USA OPERATING CORP,Gas,Permanently Abandoned,2004-07-01,52,,PRB COAL BED,SEVEN BROTHERS,
49-033-23083,SEVEN BROTHERS #5D2D3-6 56-83,44.85883,-106.91023,Wyoming,Sheridan,STORM CAT ENERGY USA OPERATING CORP,Gas,Permanently Abandoned,2004-08-01,52,,PRB COAL BED,SEVEN BROTHERS,
